,mean,std,slope
company,0.010784192845561466,0.016923844583333618,0.011251779221855036
product,0.02534198609324763,0.027265104459491655,0.02904577739599432
origin_city,0.06103166437345591,0.045313680898826904,0.06109012643485032
origin_state,0.07191542959466928,0.03966729789968831,0.0721702743294146
dolar,0.07759091969593969,0.04355063878870625,0.0729265802771358
price_merc,0.05359670306250385,0.029277897458311237,0.06652244499153227
cbot,0.052697272054704536,0.030642005559302753,0.06773417435723705
destination_city,0.04951491342616004,0.03173691061785509,0.06613296581991025
destination_state,0.04510492000886094,0.04442219068686833,0.04957703314005096
week_of_year,0.032772462111260545,0.03510001077718835,0.035303136065857506
day_of_week,0.010269016650130473,0.018840770053437282,0.005658081896154639
month_day,0.0,0.0,0.0
