Seller,Probability
100002304,0.54
100001657,0.46
100000819,0.34
100000133,0.34
100002201,0.32
100002378,0.32
100000243,0.3066666666666667
100001904,0.3
100000359,0.28
100001997,0.28
100000953,0.27
100002395,0.26
100000766,0.2419047619047619
100000075,0.24
100001132,0.24
100001370,0.24
100000037,0.24
100001981,0.22
100000544,0.22
100000829,0.22
100001807,0.22
100001215,0.22
100002346,0.22
100000111,0.22
100002178,0.2
100002422,0.2
100000765,0.2
100000195,0.2
100001949,0.2
100000582,0.195
100000820,0.19333333333333333
100000076,0.19
100000868,0.185
100000009,0.18000000000000005
100000859,0.18
100000852,0.18
100002170,0.18
100000841,0.18
100001403,0.18
100002334,0.18
100001571,0.18
100001249,0.17
100000633,0.17
100001739,0.17
100000237,0.17
100002337,0.165
100001279,0.16399999999999998
100001952,0.16
100000817,0.16
100000808,0.16
100002249,0.16
100000142,0.16
100001856,0.16
100001835,0.16
100000120,0.16
100002164,0.16
100002427,0.16
100001476,0.16
100002305,0.16
100002112,0.16
100002099,0.16
100002036,0.16
100001720,0.16
100000481,0.15
100002332,0.14
100000759,0.14
100000334,0.14
100000316,0.14
100002284,0.14
100002376,0.14
100002352,0.14
100000408,0.14
100000437,0.14
100000104,0.14
100002341,0.14
100002317,0.14
100002428,0.14
100001299,0.14
100001710,0.14
100001934,0.14
100001964,0.14
100001914,0.14
100001488,0.14
100000813,0.14
100001623,0.14
100001406,0.14
100002181,0.14
100001592,0.14
100000983,0.14
100002160,0.14
100001098,0.138
100000788,0.13
100001292,0.13
100000348,0.12447619047619048
100000313,0.12
100001728,0.12
100002040,0.12
100000324,0.12
100001797,0.12
100001671,0.12
100001998,0.12
100001832,0.12
100001881,0.12
100000302,0.12
100000771,0.12
100001585,0.12
100002285,0.12
100000781,0.12
100000699,0.12
100000683,0.12
100002239,0.12
100002272,0.12
100000814,0.12
100000832,0.12
100001447,0.12
100000527,0.12
100001031,0.12
100001036,0.12
100000434,0.12
100001106,0.12
100000760,0.12
100002399,0.12
100002172,0.12
100000089,0.12
100002406,0.12
100000072,0.12
100002416,0.12
100001955,0.11166666666666666
100000535,0.11
100001345,0.11
100002391,0.105
100002328,0.10285714285714287
100000500,0.1019047619047619
100000095,0.10136363636363635
100000005,0.10133333333333333
100001902,0.1
100000041,0.1
100002412,0.1
100002169,0.1
100001318,0.1
100000420,0.1
100001442,0.1
100002309,0.1
100000335,0.1
100002051,0.1
100001687,0.1
100002276,0.1
100001890,0.1
100001798,0.1
100000194,0.1
100001426,0.1
100000823,0.1
100002348,0.1
100000038,0.1
100002166,0.1
100001387,0.1
100001621,0.1
100002368,0.1
100001876,0.1
100000601,0.1
100001627,0.1
100002377,0.1
100000587,0.1
100001966,0.1
100002167,0.1
100002319,0.1
100002108,0.1
100002375,0.1
100001012,0.1
100002159,0.1
100001750,0.1
100002302,0.1
100000526,0.1
100002397,0.1
100001764,0.1
