Seller,Probability
100002332,0.41
100001835,0.32
100002039,0.24
100001739,0.235
100000348,0.18152380952380948
100001306,0.18
100000195,0.17
100000904,0.155
100002394,0.155
100002035,0.15
100001664,0.15
100002000,0.145
100001802,0.13
100002391,0.1275
100001098,0.12288888888888888
100000095,0.12231376466670583
100002412,0.12
100002382,0.12
100001708,0.11
100000076,0.11
100001151,0.11
100000142,0.1
100000898,0.1
100002390,0.09117647058823529
100001993,0.08
100001949,0.08
100002198,0.08
100002158,0.08
100001343,0.08
100001657,0.08
100000770,0.07533333333333334
100000440,0.075
100002341,0.07
100002395,0.07
100002400,0.07
100001919,0.07
100001883,0.07
100002368,0.07
100001779,0.07
100000602,0.06628571428571428
100001114,0.065
100001095,0.06
100002038,0.06
100001137,0.06
100002300,0.06
100001942,0.06
100001978,0.06
100002352,0.06
100000133,0.06
100002419,0.055
100002333,0.055
100000037,0.05333333333333334
100001599,0.0525
100000106,0.051515151515151514
100001861,0.05
100000228,0.05
100002266,0.05
100001218,0.05
100002303,0.0475
100000263,0.045588235294117645
100000040,0.045
100002353,0.045
100002093,0.045
100000359,0.0425
100002363,0.0425
100001952,0.04
100001728,0.04
100001354,0.04
100002406,0.04
100002346,0.04
100001956,0.04
100000702,0.04
100002415,0.04
100001005,0.04
100000905,0.04
100002146,0.04
100002166,0.04
100002201,0.04
100000329,0.03732323232323232
100002297,0.03333333333333333
100000875,0.03333333333333333
100001198,0.03208333333333333
100002017,0.032
100000016,0.03177777777777779
100000075,0.03071428571428571
100000863,0.03
100001308,0.03
100000773,0.03
100001132,0.03
100002427,0.03
100001250,0.03
100001507,0.03
100000068,0.03
100002416,0.03
100001601,0.03
100001089,0.03
100002398,0.03
100000138,0.03
100000104,0.03
100002369,0.03
100002167,0.03
100000699,0.03
100002351,0.03
100001795,0.03
100002378,0.03
100001995,0.027333333333333334
100001898,0.025
100000109,0.025
100000082,0.025
100001284,0.025
100002328,0.024761904761904763
100001968,0.0235
100001041,0.02333333333333333
100002345,0.02333333333333333
100002418,0.02333333333333333
100002343,0.02333333333333333
100000947,0.02333333333333333
100000044,0.02305555555555556
100000870,0.02
100000953,0.02
100000882,0.02
100002335,0.02
100000797,0.02
100002177,0.02
100002182,0.02
100002122,0.02
100000765,0.02
100002334,0.02
100000747,0.02
100000919,0.02
100000923,0.02
100000931,0.02
100002379,0.02
100002069,0.02
100000983,0.02
100001924,0.02
100001596,0.02
100001510,0.02
100001797,0.02
100001391,0.02
100001822,0.02
100001384,0.02
100002361,0.02
100001761,0.02
100000991,0.02
100001959,0.02
100002376,0.02
100001979,0.02
100001711,0.02
100001661,0.02
100001009,0.02
100002116,0.02
100001712,0.02
100000009,0.02
100000302,0.02
100000555,0.02
100000243,0.02
100000373,0.02
100000111,0.02
100000135,0.02
100000334,0.02
100000909,0.0175
100000310,0.016944444444444446
100001110,0.016666666666666666
100000167,0.01636363636363637
100002330,0.015
100002413,0.015
100000130,0.015
100002348,0.015
100002385,0.015
100000790,0.015
100001030,0.015
100002389,0.015
100002397,0.015
100001633,0.015
100002424,0.015
100002215,0.015
100001985,0.015
100000296,0.015
100001837,0.015
100000069,0.014848484848484849
100000077,0.014799024504906857
100000028,0.014015151515151513
100002287,0.013999999999999999
100000751,0.013333333333333332
100000987,0.013333333333333332
100001152,0.013333333333333332
100000412,0.013181818181818183
100000518,0.0125
100001996,0.0125
100000346,0.012181818181818183
100002046,0.011777777777777778
100000500,0.011666666666666665
100000490,0.011666666666666665
100000339,0.011666666666666665
100002232,0.01125
